Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,TotalBath,TotalPorchSF,HouseAge,PredictedSalePrice
1461.0,20.0,2.0,80.0,9.360741172643708,1.0,0.0,3.0,3.0,0.0,4.0,0.0,12.0,1.0,2.0,0.0,2.0,5.0,6.0,1961.0,1961.0,1.0,1.0,12.0,13.0,1.0,0.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,468.0,3.0,144.0,270.0,882.0,1.0,4.0,1.0,4.0,896.0,0.0,0.0,6.799055862058796,0.0,0.0,1.0,0.0,2.0,1.0,3.0,5.0,6.0,0.0,2.0,1.0,1961.0,2.0,1.0,730.0,4.0,4.0,2.0,140.0,0.0,0.0,0.0,120.0,0.0,2.0,2.0,2.0,0.0,6.0,2010.0,8.0,4.0,1.0,0.0,49.0,127837.1
1462.0,20.0,3.0,81.0,9.565774546478782,1.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,2.0,6.0,6.0,1958.0,1958.0,3.0,1.0,13.0,14.0,1.0,108.0,3.0,4.0,1.0,3.0,3.0,3.0,0.0,923.0,5.0,0.0,406.0,1329.0,1.0,4.0,1.0,4.0,1329.0,0.0,0.0,7.1929342212158,0.0,0.0,1.0,1.0,3.0,1.0,2.0,6.0,6.0,0.0,2.0,1.0,1958.0,2.0,1.0,312.0,4.0,4.0,2.0,393.0,36.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,12500.0,6.0,2010.0,8.0,4.0,1.5,3.6109179126442243,52.0,161273.56
1463.0,60.0,3.0,74.0,9.534667728624708,1.0,0.0,0.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,5.0,5.0,5.0,1997.0,1998.0,1.0,1.0,12.0,13.0,1.0,0.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,791.0,5.0,0.0,137.0,928.0,1.0,2.0,1.0,4.0,928.0,701.0,0.0,7.396335293800808,0.0,0.0,2.0,1.0,3.0,1.0,3.0,6.0,6.0,1.0,4.0,1.0,1997.0,0.0,2.0,482.0,4.0,4.0,2.0,212.0,34.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,3.0,2010.0,8.0,4.0,2.5,3.5553480614894135,13.0,185324.8
1464.0,60.0,3.0,78.0,9.208238163884312,1.0,0.0,0.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,5.0,6.0,6.0,1998.0,1998.0,1.0,1.0,12.0,13.0,1.0,20.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,602.0,5.0,0.0,324.0,926.0,1.0,0.0,1.0,4.0,926.0,678.0,0.0,7.380879035564116,0.0,0.0,2.0,1.0,3.0,1.0,2.0,7.0,6.0,1.0,2.0,1.0,1998.0,0.0,2.0,470.0,4.0,4.0,2.0,360.0,36.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,6.0,2010.0,8.0,4.0,2.5,3.6109179126442243,12.0,193239.03
1465.0,120.0,3.0,43.0,8.518392471991719,1.0,0.0,0.0,1.0,0.0,4.0,0.0,22.0,2.0,2.0,4.0,2.0,8.0,5.0,1992.0,1992.0,1.0,1.0,6.0,6.0,1.0,0.0,2.0,4.0,2.0,2.0,3.0,3.0,0.0,263.0,5.0,0.0,1017.0,1280.0,1.0,0.0,1.0,4.0,1280.0,0.0,0.0,7.155396301896734,0.0,0.0,2.0,0.0,2.0,1.0,2.0,5.0,6.0,0.0,2.0,1.0,1992.0,1.0,2.0,506.0,4.0,4.0,2.0,0.0,82.0,0.0,0.0,144.0,0.0,2.0,2.0,2.0,0.0,1.0,2010.0,8.0,4.0,2.0,4.418840607796598,18.0,200228.55
1466.0,60.0,3.0,75.0,9.210440366976517,1.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,5.0,6.0,5.0,1993.0,1994.0,1.0,1.0,6.0,6.0,1.0,0.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,0.0,5.0,0.0,763.0,763.0,1.0,2.0,1.0,4.0,763.0,892.0,0.0,7.412160334945205,0.0,0.0,2.0,1.0,3.0,1.0,3.0,7.0,6.0,1.0,4.0,1.0,1993.0,0.0,2.0,440.0,4.0,4.0,2.0,157.0,84.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,2010.0,8.0,4.0,2.5,4.442651256490317,17.0,177122.3
1467.0,20.0,3.0,69.0,8.984818995876008,1.0,0.0,0.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,2.0,6.0,7.0,1992.0,2007.0,1.0,1.0,6.0,6.0,1.0,0.0,3.0,2.0,2.0,2.0,3.0,3.0,0.0,935.0,5.0,0.0,233.0,1168.0,1.0,0.0,1.0,4.0,1187.0,0.0,0.0,7.080026499922591,1.0,0.0,2.0,0.0,3.0,1.0,3.0,6.0,6.0,0.0,2.0,1.0,1992.0,0.0,2.0,420.0,4.0,4.0,2.0,483.0,21.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,500.0,3.0,2010.0,8.0,4.0,2.0,3.091042453358316,18.0,183482.83
1468.0,60.0,3.0,63.0,9.036344063928219,1.0,0.0,0.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,5.0,6.0,5.0,1998.0,1998.0,1.0,1.0,12.0,13.0,1.0,0.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,0.0,5.0,0.0,789.0,789.0,1.0,2.0,1.0,4.0,789.0,676.0,0.0,7.290292882446597,0.0,0.0,2.0,1.0,3.0,1.0,3.0,7.0,6.0,1.0,2.0,1.0,1998.0,0.0,2.0,393.0,4.0,4.0,2.0,0.0,75.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,5.0,2010.0,8.0,4.0,2.5,4.330733340286331,12.0,170561.94
1469.0,20.0,3.0,85.0,9.227885551191932,1.0,0.0,3.0,3.0,0.0,4.0,0.0,8.0,2.0,2.0,0.0,2.0,7.0,5.0,1990.0,1990.0,1.0,1.0,6.0,6.0,1.0,0.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,637.0,5.0,0.0,663.0,1300.0,1.0,2.0,1.0,4.0,1341.0,0.0,0.0,7.201916317531627,1.0,0.0,1.0,1.0,2.0,1.0,2.0,5.0,6.0,1.0,3.0,1.0,1990.0,2.0,2.0,506.0,4.0,4.0,2.0,192.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2010.0,8.0,4.0,1.5,0.0,20.0,172676.16
1470.0,20.0,3.0,70.0,9.036106025364846,1.0,0.0,3.0,3.0,0.0,0.0,0.0,12.0,2.0,2.0,0.0,2.0,4.0,5.0,1970.0,1970.0,1.0,1.0,9.0,10.0,1.0,0.0,3.0,4.0,1.0,3.0,3.0,3.0,0.0,804.0,4.0,78.0,0.0,882.0,1.0,4.0,1.0,4.0,882.0,0.0,0.0,6.78332520060396,1.0,0.0,1.0,0.0,2.0,1.0,3.0,4.0,6.0,0.0,2.0,1.0,1970.0,0.0,2.0,525.0,4.0,4.0,2.0,240.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,2010.0,8.0,4.0,1.0,0.0,40.0,127896.39
